Authority.Name,Fiscal.Year.End.Date,Cash.And.Cash.Equivalents,Investments,Receivables..Net,Other.Assets..Current.,Total.Current.Assets,Restricted.Cash.And.Investments,Long.Term.Receivables..Net,Other.Assets..Noncurrent.,Land.And.Other.Non.Depreciable.Property,Buildings.And.Equipment,Infrastructure,Accumulated.Depreciation,Net.Capital.Assets,Total.Noncurrent.Assets,Total.Assets,Accounts.Payable,Pension.Contribution.Payable..Current.,Other.Post.Employment.Benefits..Current.,Accrued.Liabilities,Deferred.Revenues,Bonds.And.Notes.Payable..Current.,Other.Long.Term.Obligations.Due.Within.One.Year,Total.Current.Liabilities,Pension.Contribution.Payable..Noncurrent.,Other.Post.Employment.Benefits..Noncurrent.,Bonds.And.Notes.Payable..Noncurrent.,Long.Term.Leases,Other.Long.Term.Obligations,Total.Noncurrent.Liabilities,Total.Liabilities,Invested.In.Capital.Assets..Net.Of.Related.Debt,Restricted.Net.Assets,Unrestricted.Net.Assets,Total.Net.Assets,Charges.For.Services,Rental.And.Financing.Income,Other.Operating.Revenues,Total.Operating.Revenue,Salaries.And.Wages,Other.Employee.Benefits,Professional.Services.Contracts,Supplies.And.Materials,Depreciation.And.Amortization,Other.Operating.Expenses,Total.Operating.Expenses,Operating.Income..Loss.,Investment.Earnings,State.Subsidies...Grants,Federal.Subsidies...Grants,Municipal.Subsidies...Grants,Public.Authority.Subsidies,Other.Non.operating.Revenues,Total.Non.Operating.Revenue,Interest.And.Other.Financing.Charges,Subsidies.To.Other.Public.Authorities,Grants.And.Donations,Other.Non.Operating.Expenses,Total.Non.Operating.Expenses,Income..Loss..Before.Contributions,Capital.Contributions,Change.in.net.assets,Net.Assets..Deficit..Beginning.Of.Year,Other.Net.Assets.Changes,Net.Assets..Deficit..At.End.Of.Year,,
Hudson Yards Infrastructure Corporation,6/30/2024,87980219.60,379987236.70,527517.10,0.00,468494973.40,133216145.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,133216145.50,601711118.90,250799.30,0.00,0.00,102992826.70,130708689.20,0.00,46825000.00,280777315.20,0.00,0.00,2748223656.00,0.00,0.00,2748223656.00,3029000971.00,0.00,0.00,-2427289852.00,-2427289852.00,0.00,0.00,338970589.90,338970589.90,0.00,0.00,0.00,0.00,0.00,1523373.20,1523373.20,337447216.70,17674178.60,0.00,0.00,0.00,0.00,0.00,17674178.60,95601991.90,0.00,0.00,262059262.70,357661254.60,-2539859.30,0.00,-2539859.30,-2424749993.00,0.00,-2427289852.00,601711119.00,Mismatch
New York City Business Assistance Corporation,6/30/2024,1315320.00,1522744.00,149747.00,0.00,2987811.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2987811.00,8000.00,0.00,0.00,0.00,0.00,0.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,0.00,8000.00,0.00,2755438.00,224373.00,2979811.00,0.00,0.00,0.00,0.00,0.00,0.00,653238.00,0.00,0.00,11339.00,664577.00,-664577.00,0.00,0.00,0.00,0.00,0.00,1512.00,1512.00,0.00,0.00,0.00,0.00,0.00,-663065.00,0.00,-663065.00,3642876.00,0.00,2979811.00,2987811.00,OK
New York City Economic Development Corporation,6/30/2024,186586630.00,124307173.00,527924894.00,4218279.00,843036976.00,271215883.00,2231847822.00,35057197.00,132387246.00,608800570.00,0.00,104545946.00,636641870.00,3174762772.00,4017799748.00,109225824.00,0.00,0.00,195958291.00,48281753.00,0.00,4760106.00,358225974.00,0.00,0.00,0.00,260390899.00,2724484137.00,2984875036.00,3343101010.00,230162761.00,109011827.00,335524150.00,674698738.00,862109279.00,216972326.00,15734441.00,1094816046.00,60095612.00,13044883.00,1000845827.00,836418.00,29042718.00,22297183.00,1126162641.00,-31346595.00,9996520.00,0.00,0.00,0.00,0.00,53883173.00,63879693.00,0.00,0.00,0.00,0.00,0.00,32533098.00,0.00,32533098.00,642165640.00,0.00,674698738.00,4017799748.00,OK
New York City Energy Efficiency Corporation,6/30/2024,10197869.00,3370213.00,8982744.00,143850.00,22694676.00,4247657.00,16649728.00,0.00,0.00,4711.00,654964.00,0.00,659675.00,21557060.00,44251736.00,1008511.00,0.00,0.00,0.00,0.00,0.00,154937.00,1163448.00,0.00,0.00,13311790.00,585062.00,124378.00,14021230.00,15184678.00,0.00,3304318.00,25762740.00,29067058.00,0.00,1979379.00,0.00,1979379.00,1932498.00,413698.00,573972.00,11685.00,2827.00,326797.00,3261477.00,-1282098.00,149497.00,222728.80,0.00,970126.20,0.00,1571175.00,2913527.00,581034.00,0.00,0.00,2256301.00,2837335.00,-1205906.00,0.00,-1205906.00,30272964.00,0.00,29067058.00,44251736.00,OK
New York City Land Development Corporation,6/30/2024,3102.00,0.00,4021.00,0.00,7123.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7123.00,0.00,0.00,0.00,2124.00,0.00,0.00,0.00,2124.00,0.00,0.00,0.00,0.00,0.00,0.00,2124.00,0.00,0.00,4999.00,4999.00,0.00,0.00,2100.00,2100.00,0.00,0.00,0.00,0.00,0.00,2100.00,2100.00,0.00,77.00,0.00,0.00,0.00,0.00,0.00,77.00,77.00,0.00,0.00,0.00,77.00,0.00,0.00,0.00,4999.00,0.00,4999.00,7123.00,OK
Newburgh Community Land Bank,6/30/2024,69555.00,0.00,0.00,22927.00,92482.00,0.00,0.00,130574.00,0.00,544306.00,0.00,0.00,544306.00,674880.00,767362.00,22981.00,0.00,0.00,6943.00,0.00,0.00,209788.00,239712.00,0.00,0.00,0.00,0.00,0.00,0.00,239712.00,130574.00,0.00,397076.00,527650.00,0.00,0.00,1032500.00,1032500.00,182860.00,12533.00,62895.00,0.00,0.00,1666175.00,1924463.00,-891963.00,0.00,212000.00,0.00,0.00,0.00,21741.00,233741.00,20860.00,0.00,0.00,0.00,20860.00,-679082.00,0.00,-679082.00,1206732.00,0.00,527650.00,767362.00,OK
NYC Neighborhood Capital Corporation,6/30/2024,6229075.00,0.00,0.00,71273.00,6300348.00,0.00,0.00,15555.00,0.00,0.00,0.00,0.00,0.00,15555.00,6315903.00,0.00,0.00,0.00,172750.00,0.00,0.00,0.00,172750.00,0.00,0.00,0.00,0.00,0.00,0.00,172750.00,0.00,0.00,6143153.00,6143153.00,0.00,1522993.00,0.00,1522993.00,0.00,0.00,412500.00,0.00,0.00,19509.00,432009.00,1090984.00,130540.00,0.00,0.00,0.00,0.00,0.00,130540.00,0.00,0.00,0.00,0.00,0.00,1221524.00,0.00,1221524.00,4921629.00,0.00,6143153.00,6315903.00,OK
Public Realm Improvement Fund Governing Group Inc,6/30/2024,19066681.00,21967940.00,113803.00,0.00,41148424.00,8510487.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8510487.00,49658911.00,34634.00,0.00,0.00,0.00,0.00,0.00,0.00,34634.00,0.00,0.00,0.00,0.00,0.00,0.00,34634.00,0.00,49624277.00,0.00,49624277.00,863250.00,0.00,0.00,863250.00,0.00,0.00,0.00,0.00,0.00,49752.00,49752.00,813498.00,1524445.00,0.00,0.00,0.00,0.00,0.00,1524445.00,0.00,0.00,0.00,0.00,0.00,2337943.00,0.00,2337943.00,47286334.00,0.00,49624277.00,49658911.00,OK
Rochester Land Bank Corporation,6/30/2024,1145071.00,0.00,51181.00,0.00,1196252.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1196252.00,4483.00,0.00,0.00,51181.00,0.00,0.00,0.00,55664.00,0.00,0.00,0.00,0.00,0.00,0.00,55666.00,0.00,0.00,1140588.00,1140588.00,0.00,0.00,281670.00,281670.00,266623.00,0.00,22802.00,0.00,0.00,696808.00,986233.00,-704563.00,0.00,71510.00,215442.00,0.00,0.00,0.00,286952.00,0.00,0.00,0.00,0.00,0.00,-417611.00,0.00,-417611.00,1558199.00,0.00,1140588.00,1196252.00,OK
Schoharie County Capital Resource Corporation,6/30/2024,23210.00,0.00,0.00,353.00,23563.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23563.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23563.00,23563.00,0.00,0.00,0.00,0.00,0.00,0.00,2400.00,0.00,0.00,1256.00,3656.00,-3656.00,5.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,-3651.00,0.00,-3651.00,27214.00,0.00,23563.00,23563.00,OK
"TSASC, Inc.",6/30/2024,739316.00,0.00,98503783.80,0.00,99243099.90,81566173.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81566173.40,180809273.20,13500.00,0.00,0.00,3908770.80,61661000.00,29050000.00,0.00,94633270.80,0.00,0.00,909055000.00,0.00,16357052.90,925412052.90,1020045324.00,0.00,0.00,-839236050.50,-839236050.50,0.00,0.00,192084901.00,192084901.00,0.00,0.00,0.00,0.00,0.00,512152.70,512152.70,191572748.30,3327244.40,0.00,0.00,0.00,0.00,0.00,3327244.40,44867884.80,0.00,0.00,121195893.50,166063778.40,28836214.30,0.00,28836214.30,-868072264.90,0.00,-839236050.50,180809273.50,Mismatch
Watertown Industrial Center Local Development Corporation,6/30/2024,360734.00,0.00,19936.00,0.00,380670.00,0.00,0.00,122080.00,205000.00,6160901.00,0.00,4387877.00,1978024.00,2100104.00,2480774.00,13291.00,0.00,0.00,0.00,1079.00,0.00,211442.00,225812.00,0.00,0.00,0.00,0.00,204841.00,204841.00,430653.00,97881.00,268419.00,1683821.00,2050121.00,665275.00,0.00,23760.00,689035.00,121403.00,26879.00,155903.00,0.00,160931.00,160593.00,625709.00,63326.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10880.00,0.00,0.00,0.00,10880.00,52446.00,0.00,52446.00,1997675.00,0.00,2050121.00,2480774.00,OK
Binghamton Local Development Corporation,7/31/2024,55234.00,0.00,26357.00,0.00,81591.00,1227987.00,1359592.00,0.00,760981.00,0.00,0.00,0.00,760981.00,3348560.00,3430151.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,609218.00,609218.00,609218.00,0.00,2775699.00,45234.00,2820933.00,82992.00,65560.00,19818.00,168370.00,46242.00,0.00,26130.00,33076.00,0.00,749916.00,855364.00,-686994.00,10838.00,0.00,0.00,0.00,0.00,0.00,10838.00,0.00,0.00,0.00,0.00,0.00,-676156.00,0.00,-676156.00,3497089.00,0.00,2820933.00,3430151.00,OK
Albany CSO Pool Communities Corporation,8/31/2024,41359.00,0.00,0.00,0.00,41359.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41359.00,14949.00,0.00,0.00,0.00,0.00,0.00,26410.00,41359.00,0.00,0.00,0.00,0.00,0.00,0.00,41359.00,0.00,0.00,0.00,0.00,0.00,0.00,16731703.00,16731703.00,0.00,0.00,42507.00,0.00,0.00,16689196.00,16731703.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41359.00,OK
Fairport Local Development Corporation,8/31/2024,616774.00,0.00,159294.00,664.00,776732.00,0.00,197423.00,0.00,0.00,0.00,0.00,0.00,0.00,197423.00,974155.00,2711.00,0.00,0.00,0.00,12585.00,0.00,0.00,15296.00,0.00,0.00,0.00,0.00,0.00,0.00,15296.00,0.00,0.00,958859.00,958859.00,0.00,29462.00,3563.00,33025.00,0.00,0.00,7138.00,0.00,0.00,29719.00,36857.00,-3832.00,10796.00,0.00,0.00,0.00,0.00,0.00,10796.00,0.00,0.00,0.00,0.00,0.00,6964.00,0.00,6964.00,951895.00,0.00,958859.00,974155.00,OK
Niagara County Brownfields Development Corporation,8/31/2024,589445.00,0.00,69958.00,0.00,659403.00,0.00,1482570.00,0.00,0.00,0.00,0.00,0.00,0.00,1482570.00,2141973.00,40549.00,0.00,0.00,0.00,0.00,0.00,0.00,40549.00,0.00,0.00,0.00,0.00,0.00,0.00,40549.00,0.00,2101424.00,0.00,2101424.00,0.00,8167.00,0.00,8167.00,0.00,0.00,60204.00,0.00,0.00,91358.00,151562.00,-143395.00,0.00,0.00,713278.00,0.00,0.00,0.00,713278.00,0.00,0.00,0.00,0.00,0.00,569883.00,0.00,569883.00,1531541.00,0.00,2101424.00,2141973.00,OK
Ontario County Four Seasons Development Corporation,8/31/2024,870834.00,518845.00,565.00,12946.00,1403190.00,3783.00,0.00,0.00,0.00,295330.00,0.00,0.00,295330.00,299113.00,1702303.00,15830.00,0.00,0.00,74640.00,388757.00,0.00,0.00,479227.00,0.00,0.00,0.00,0.00,3783.00,3783.00,483010.00,0.00,0.00,1219293.00,1219293.00,8002.00,0.00,8389.00,16391.00,508194.00,102006.00,38561.00,7062.00,42402.00,694020.00,1392245.00,-1375854.00,19685.00,59607.00,0.00,1217529.00,0.00,10802.00,1307623.00,0.00,0.00,0.00,0.00,0.00,-68231.00,0.00,-68231.00,1287524.00,0.00,1219293.00,1702303.00,OK
Clinton Grant Facilitation Corporation,9/30/2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,OK
Advance Albany County Alliance Local Development Corporation,9/30/2024,623804.00,0.00,90214.00,19899.00,733917.00,0.00,0.00,320064.00,0.00,160588.00,0.00,44951.00,115637.00,435701.00,1169618.00,28706.00,0.00,0.00,1966.00,0.00,0.00,94814.00,125486.00,0.00,0.00,0.00,0.00,225250.00,225250.00,350736.00,0.00,0.00,818882.00,818882.00,516189.00,47407.00,46260.00,609856.00,353498.00,97554.00,172192.00,43499.00,27868.00,204685.00,899296.00,-289440.00,0.00,0.00,0.00,500000.00,0.00,0.00,500000.00,0.00,0.00,0.00,0.00,0.00,210560.00,0.00,210560.00,608322.00,0.00,818882.00,1169618.00,OK
Albany County Business Development Corporation,9/30/2024,4500784.00,4999236.00,2099285.00,0.00,11599305.00,0.00,8273140.00,0.00,0.00,0.00,0.00,0.00,0.00,8273140.00,19872445.00,0.00,0.00,0.00,87188.00,0.00,0.00,0.00,87188.00,0.00,0.00,0.00,0.00,0.00,0.00,87188.00,0.00,19611029.00,174228.00,19785257.00,0.00,0.00,508980.00,508980.00,0.00,0.00,434310.00,0.00,0.00,0.00,434310.00,74670.00,105149.00,0.00,0.00,0.00,0.00,32479.00,137628.00,0.00,0.00,0.00,0.00,0.00,212298.00,0.00,212298.00,19572959.00,0.00,19785257.00,19872445.00,OK
Albany County Capital Resource Corporation,9/30/2024,1607014.00,0.00,0.00,1739.00,1608753.00,0.00,194988.00,0.00,0.00,0.00,0.00,0.00,0.00,194988.00,1803741.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1803741.00,1803741.00,0.00,0.00,38866.00,38866.00,0.00,0.00,80717.00,0.00,0.00,22753.00,103470.00,-64604.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-64604.00,0.00,-64604.00,1868345.00,0.00,1803741.00,1803741.00,OK
Albany County Land Bank Corporation,9/30/2024,3596987.00,0.00,2542640.00,1857039.00,7996666.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7996666.00,428566.00,0.00,0.00,165078.00,1784303.00,0.00,0.00,2377947.00,0.00,0.00,0.00,0.00,0.00,0.00,2377947.00,0.00,0.00,5618719.00,5618719.00,0.00,0.00,2272977.00,2272977.00,532716.00,0.00,192544.00,0.00,0.00,3145345.00,3870605.00,-1597628.00,599.00,0.00,0.00,0.00,0.00,0.00,599.00,0.00,0.00,0.00,0.00,0.00,-1597029.00,660100.00,-936929.00,6555648.00,0.00,5618719.00,7996666.00,OK
Allegany County Land Bank Corporation,9/30/2024,33092.00,0.00,0.00,0.00,33092.00,0.00,0.00,0.00,407827.00,0.00,0.00,0.00,407827.00,407827.00,440919.00,-2126.00,0.00,0.00,0.00,21009.00,0.00,0.00,18883.00,0.00,0.00,0.00,0.00,0.00,0.00,18883.00,0.00,0.00,422036.00,422036.00,0.00,0.00,3000.00,3000.00,0.00,0.00,58695.00,386.00,0.00,70109.00,129190.00,-126190.00,0.00,119641.00,0.00,0.00,0.00,0.00,119641.00,0.00,0.00,0.00,0.00,0.00,-6549.00,0.00,-6549.00,428585.00,0.00,422036.00,440919.00,OK
Allegany County Telecommunications Development Corp,9/30/2024,9220.00,0.00,1500.00,0.00,10720.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10720.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10720.00,10720.00,20063.00,0.00,16348.00,36411.00,0.00,0.00,22358.00,0.00,0.00,2527.00,24885.00,11526.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11526.00,0.00,11526.00,-806.00,0.00,10720.00,10720.00,OK
Bethel Local Development Corporation,9/30/2024,9302.00,0.00,0.00,0.00,9302.00,0.00,0.00,0.00,80944.00,12568.00,0.00,10005.00,83507.00,83507.00,92809.00,450.00,0.00,0.00,0.00,0.00,0.00,0.00,450.00,0.00,0.00,0.00,0.00,65404.00,65404.00,65854.00,59663.00,18473.00,-51181.00,26955.00,0.00,0.00,38154.00,38154.00,0.00,0.00,13321.00,0.00,0.00,18135.00,31456.00,6698.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,732.00,732.00,5966.00,0.00,5966.00,20989.00,0.00,26955.00,92809.00,OK
Bolton Local Development Corporation,9/30/2024,150757.00,0.00,173333.00,0.00,324090.00,101384.00,0.00,121701.00,1894320.00,1499440.00,0.00,790058.00,2603702.00,2826787.00,3150877.00,0.00,0.00,0.00,55964.00,225073.00,182636.00,0.00,463673.00,0.00,0.00,2672313.00,0.00,0.00,2672313.00,3135986.00,0.00,0.00,14891.00,14891.00,1097477.00,0.00,0.00,1097477.00,277692.00,37289.00,54022.00,15426.00,101207.00,429466.00,915102.00,182375.00,473.00,0.00,0.00,0.00,0.00,20948.00,21421.00,19771.00,0.00,0.00,46037.00,65808.00,137988.00,0.00,137988.00,-123097.00,0.00,14891.00,3150877.00,OK
